Concesionario,Direccion,Responsable,Celular,Distrito,DiaVisita,Promotor,Cono
AUTOACCESORIOS LAV-17 - CE,ASOC. VIRGEN DE LA ASUNCION MZ.A LT.12,MARIELA ZARELA VENTURA POEMAPE, ,ATE,LU,5,17
AUTOACCESORIOS PALOMINO,MZ H 4 LT21 - CARLOS MAREATEGUI,CHANCCO MENDOZA ELIZABETH,962789367,SAN JUAN DE LURIGANCHO,SA,7,17
AUTOBOUTIQUE ASUNCION,CALLE LOS ZAFIROS 1835 URB LAS FLORES PA,MAGUI—A PAICO EVER GHERCE, ,SAN JUAN DE LURIGANCHO,LU,7,17
AUTOBOUTIQUE EJJP,AV JOSE CARLOS MARIATEGUI MZ 17 LT 17,ELSA MACHACUAY ALDERETE,990617744,SAN JUAN DE LURIGANCHO,SA,7,17
AUTOBOUTIQUE GIANELLA,AV.MIGEUL GRAU MZ.A LT.1 SAN GREGORIO,NELLY ARANCO PRUDENCIO, ,ATE,LU,5,17
AUTOBOUTIQUE RL,AV PROCERES DE LA INDEOENDENCIA 3371,MARIA DEL ROSARIO DONAYRE CONDE, ,SAN JUAN DE LURIGANCHO,JU,7,17
AUTOBOUTIQUE SAGITARIO,AV MEXICO 973,VALENTIN ZARZOSA ESPADA,980056763,LA VICTORIA,VI,5,17
AUTOBOUTIQUE VIFONS,AV RUISE—ORES 958,MERCADO FONSECA MIGUEL ANGEL, ,SANTA ANITA,MA,5,17
AUTOCAR MULTISERVICIOS YELCA-17 - CE,AV. JOSE C. MARIATEGUI MZ. B LT.3 URB. S,WILTON C. VENTURA POEMAPE, ,ATE,LU,5,17
AUTOGAS MIPOL (AUTOGAS MILAGROS),MALECON CHECA 1113 ZARATE PARAD. CANTUTA,JAIME PASQUEL CASTRO,994890254,SAN JUAN DE LURIGANCHO,JU,7,17
AUTOMOTRIZ CHAVEZ - CE,JR.ABTAO 1387,MORALES PEDRO JOSE, ,LA VICTORIA,VI,5,17
AUTOMOTRIZ HUACHIPA,AV PRINCIPAL MZ A LT 4 EL FORESTAL CAMPO,ELENA CERON PRADA, ,SAN JUAN DE LURIGANCHO,JU,7,17
AUTOMOTRIZ JM,AV CENTRAL MZ A LT 2 URB HERALDOS MAGNOL,JOSE MAMANI FLORES, ,SAN JUAN DE LURIGANCHO,MA,7,17
AUTOMOTRIZ ROCCA,AV. PROCERES N∞2656 ALT. MECANICA C,MARIA SANTOS HUAMAN PERALTA, ,SAN JUAN DE LURIGANCHO,JU,7,17
AUTOMOTRIZ ROJAS,AV. SAN LUIS 723,FRANCISCA ROJAS BLAS, ,SAN LUIS,SA,5,17
AUTOMOTRIZ TORRES,AV.CARLOS MAREATEGUI MZ.C LT.1,EDWIN DANIEL TORRE SALCEDO, ,ATE,LU,5,17
AUTOMUNDO SATTO,MZ.C1LT2LOS PINOS,SATTO PACHECO ROXANA,996242717,SAN JUAN DE LURIGANCHO,SA,7,17
AUTOPARTE EL RAYO SAC,AV.DEL AIRE 1394,EDILBERTO MANUEL GALINO, ,SAN LUIS,SA,5,17
AUTOPARTES BUENO SAC,AV. LIMA SUR 973 PEDREGAL,MANUEL BUENO VEGA, ,CHOSICA,LU,5,17
AUTOPARTES CHANCHAMAYO II,AV WISSIE S/N,GINA LANDA EGUILAS,980731762,SAN JUAN DE LURIGANCHO,SA,7,17
AUTOPARTES EL ANDAHUAYLINO,AV. LOS CHANCAS 633,JAIME MAITAN HUAMAN, ,SANTA ANITA,MA,5,17
AUTOPARTES MANUEL,AV METROPOLITANA 291 URB FORTALEZA,AGREDA VASQUEZ CESAR MONICO, ,ATE,LU,5,17
AUTOPARTES MV,MZ C1 LT 7 WIESSE ALT.PAR 8,MALUQUISH VELASQUEZ HUMBERTO, ,SAN JUAN DE LURIGANCHO,SA,7,17
AUTOPARTES Y ACCESORIOS CHANCHAMAYO-CE,"MZ.H4, LT. 22 ASOC. DE MUJERES HUANTA 2",SACARIAS QUINCHO POLOH DAMIAN,945321999,SAN JUAN DE LURIGANCHO,SA,7,17
AUTOPARTES Y DISENOS COMPUTARIZADOS,MZ A6 LT 27 D.A. CARRION,ORDONEZ PAYANO DIONIL, ,SAN JUAN DE LURIGANCHO,MA,7,17
AUTOSERVICIOS ALFONSO-CE,AV. 13 DE ENERO 1736 S.J.L,SONIA AHUERO CERNA, ,SAN JUAN DE LURIGANCHO,MA,7,17
AUTOSERVICIOS MIGUELON-CE,AV. SANTA ROSA 2154,JOSE MIGUEL GUTIERREZ PARDO, ,SAN JUAN DE LURIGANCHO,MA,7,17
BALAS INTERNACIONAL S.R.L.,AV MEXICO 879,VICTORIA MEDINA VUIDA DE BALAS, ,LA VICTORIA,VI,5,17
BAT CAR-CE,AV. PROCERES DE INDEP. N∞ 1798,RAQUEL CACERES REYNA, ,SAN JUAN DE LURIGANCHO,LU,7,17
BATERIAS FORCE S ,AV PARINACOCHAS 1610,PAOLA MELIZA ARRATEA HUANCAYA, ,LA VICTORIA,VI,5,17
BAZAR YHULY,AV. LOS EUCALIPTOS1129,FELIX COPA MEZA,98786132,SANTA ANITA,MA,5,17
BODEGA BAZAR JOSTIN ,AV.LOS EUCALIPTOS 1208,CELA TRUJILLO AVILA, ,SANTA ANITA,MA,5,17
BODEGA FRANCO,MZ. E-8 LT.40 URB.MARISCAL CACERS S.J.L.,ANA NORMA ALVAREZ LEIVA, ,SAN JUAN DE LURIGANCHO,SA,7,17
BODEGA PIPOS,AV CANTOGRANDE MZ U LT 07 SAN HILARION A,BETY 17LA ARI ROMANI, ,SAN JUAN DE LURIGANCHO,MI,7,17
BOTICA B.M.C.,PROLONG PARINACOCHAS 1811,WALTER ANIBAL FRANCICO MOROTE CARDENAS, ,LA VICTORIA,VI,5,17
BOTICA DISCOVIRI SAC,AV.MEXICO 1647,SAMUEL TOBAL PALO AQUINO, ,LA VICTORIA,MI,5,17
BOTICA DOCTOR SALUD,JR 17 103 URB MARISCAL,YONE ANGEL QUIROZ LOASRT, ,SAN JUAN DE LURIGANCHO,LU,7,17
BOTICA FARMA SALUD,AV. STA ROSA DE LIMA 1721,DELFIN PURE MALMORREJON.,992639690,SAN JUAN DE LURIGANCHO,MA,7,17
BOTICA LA EMERGENCIA,MZ.07 LT.8 ASOCIACION VIVIENDA CASAS BLA,OBITER SANTA CRUZ FLORES, ,SAN JUAN DE LURIGANCHO,MA,7,17
BOTICA MAS SALUD,AV SAN MARTIN DE PORRES 384 CON LOS PROC,BURGA VILCHEZ EMMA DEL ROCIO, ,SAN JUAN DE LURIGANCHO,MI,7,17
BOTICA SANTA ROSA - CE,AV.CESART VALLEJO 1620,OROSCO PILHUAMAN CARMEN, ,EL AGUSTINO,MI,5,17
BRAMA TRANSPORTES Y COMERCIALIZACION  EI,JR. DE LA UNION 189,PEDRO BRAULIO MALPARTIDA, ,ATE,JU,5,17
BREVETES ALWIGE,AV PROCERES DE LA INDEPENDENCIA 2237,RAMOS GALIANO JOAQUIN ANDRES MIGUEL, ,SAN JUAN DE LURIGANCHO,MI,7,17
BREVETES JL,AV LOS CHANCAS 598,JORGE LAOS ZEGARRA, ,SANTA ANITA,MA,5,17
BREVETES ML,MZ H LT 5 URB JARDIN AZUL ( A UNA CUADRA,MIGUEL ERNESTO LAOS ELIAS, ,ATE,LU,5,17
BUBA - CADENAS DE TALLERES GLP,AV VICTOR MALASQUEZ MZ C1 LT 03 LOS HUER,FACUNDO HUASNCAS LUZ ARMANDO,987729775,CIENEGUILLA,MI,5,17
CAR FRESH,AV MEXICO 1421,SALAZAR HERNANDEZ EDSON DANIEL, ,LA VICTORIA,VI,5,17
CAR WASH SAN MARTIN,AV DOS MZ A LT 35 ,PEZCIA LEVANO MICHAEL DENAR, ,SANTA ANITA,JU,5,17
CAR WASH TARMA,MZ.ALT.40 PARIACHI,OSCAR WLADIMIR PERES,981275723,ATE,LU,5,17
CARS MOTORS,JR ANCASH MZ B LT 10,NANCY MENDO CHANCHANYA, ,EL AGUSTINO,MI,5,17
CASA DE CAMBIO ALFREDO-CE,JR. WIRACOCHA N¬∞ 379 ALT. CUADRA 3 DE CH,TEREZA DELGADO AOLIVARES,997822729,SAN JUAN DE LURIGANCHO,JU,7,17
CASA DE CAMBIO ALICIA-CE,AV. PROC.N∞ 3444 PAR. 9 AL COSTADO DE AC,CHAMORRO VEGA EDELMIRA ALICIA, ,SAN JUAN DE LURIGANCHO,LU,7,17
CASA DE CAMBIO ANGEL,AV. 13 DE ENERO 2245 LA HUAYRONA,ANGEL ENRIQUE MEZA TAPIA, ,SAN JUAN DE LURIGANCHO,MA,7,17
CASA DE CAMBIO AZHAEL,AV RIVA AG‹ERO 806,SHAPIAMA ALPAJO URBANDA, ,EL AGUSTINO,MI,5,17
CASA DE CAMBIO CALEB,AV CANTO GRANDE 3662 URB CANTO GRANDE,FRANKLIN MELENDEZ COLQUI, ,SAN JUAN DE LURIGANCHO,MA,7,17
CASA DE CAMBIO DANIEL,AV.PROCERES DE LA INDEPENDENCIA2868-ALT.,MEJIA NU√É¬ëEZ NELSON PASTOR,969670304,SAN JUAN DE LURIGANCHO,LU,7,17
CASA DE CAMBIO DOLARES S.J.L-CE,AV. CANTO GRANDE  N¬∞ 3621 COOP. CANTO GR,ORLANDO DAVID VERIZ ARONE, ,SAN JUAN DE LURIGANCHO,MA,7,17
CASA DE CAMBIO IRSA - CE,AV. LAS ALONDRAS 317-B,VICTOR J. ILLACONZA RODRIGUEZ, ,SANTA ANITA,JU,5,17
CASA DE CAMBIO ISABEL,AV. WIRACOCHA 340 ZARATEB ALT. CDRA 3 S.,LUIS ANDRES RIVERA CAMACHO, ,SAN JUAN DE LURIGANCHO,JU,7,17
CASA DE CAMBIO JIMMY - JK,Urubamba 433 Ate,Freddy Roman√≠ Medina, ,ATE,JU,5,17
CASA DE CAMBIO JIMMY - SJL,AV. CANTO GRANDE 3578 PARD. 8 CANTO GRAN,NANCY ZEVALLOS, ,SAN JUAN DE LURIGANCHO,MA,7,17
CASA DE CAMBIO KENNY-CE,AV. CANTO GRANDE 3639 MZ.H LT. 18 REF. C,DAVID PARIONA VILLANUEVA, ,SAN JUAN DE LURIGANCHO,MA,7,17
CASA DE CAMBIO KEVIN  - CE,LOS QUECHUAS 1175,PETER ROMANI MEDINA,991213378,ATE,MI,5,17
CASA DE CAMBIO MARIA - CE,AV. LOS QUECHUAS 1185,WILBER ROMANI MEDINA, ,ATE,MI,5,17
CASA DE CAMBIO MARIA II,AV QUECHUAS 1204 - URB SALAMANCA - MONTE,RICHARD ROMERO SUAREZ,940641040,ATE,MI,5,17
CASA DE CAMBIO ROLY I-CE,AV. GRAN CHIMU N∞ 359 ZARATE,ROLANDO CONDORI MORALES, ,SAN JUAN DE LURIGANCHO,JU,7,17
CASA DE CAMBIO ROLY II-CE,AV. GRAN CHIMU N∞ 367 ZARATE,ROLANDO CONDORI MORALES, ,SAN JUAN DE LURIGANCHO,JU,7,17
CASA DE CAMBIO ROLY IV-CE,AV. GRAN CHIMU N∞ 899 ZARATE,ROLANDO CONDORI MORALES, ,SAN JUAN DE LURIGANCHO,JU,7,17
CASA DE CAMBIO WERNER,AV GRAN CHIMU 433 URB ZARATE,WERNER FRANCISCO CARLOS AGUILAR, ,SAN JUAN DE LURIGANCHO,JU,7,17
CASA DE CAMBIOS EL MORENO-CE,AV.BEMJAMIN FRANKLIN 572,JOSE BALAREZO, ,LA VICTORIA,MI,5,17
CASA DE CAMBIOS FABRI,AV LAS ALONDRAS 311 - INT 110,ALONSO MORALES BERROCAL,993606106,SANTA ANITA,JU,5,17
CASA DE CAMBIOS J Y A,AV. CESAR VALLEJO N∞ 406,NORMA PEREZ HARRERA, ,SANTA ANITA,MA,5,17
CASA DE CAMBIOS JUAN - CE,AV.ROSA TORO 419,ANTONIO DONGO VIVANCO, ,SAN LUIS,SA,5,17
CASA DE CAMBIOS MELVIN - CE,AV.SAN LUIS 905,MELVIN  BARRETO MANRRIQUE,990850747,SAN LUIS,SA,5,17
CHAPAS LEO,AV PROCERESDE LA INDEPENDENCIA MZ B1 LT,WALTER VILLAR RODRIGUEZ,984784742,SAN JUAN DE LURIGANCHO,JU,7,17
CLINICA DE BATERIAS J Y NELLY - CE,AV. HUANCARAY  MZ. A4 LT.16 ,Nelly Callupe Inche, ,SANTA ANITA,JU,5,17
CM LLANTAS,AV. PROCERES DE LA INDEPENDENCIA N™ 3581,FLAVIO ELIAS LLERENA CRUZ, ,SAN JUAN DE LURIGANCHO,JU,7,17
CM LLANTAS SERVICIOS GENERALES,AV. PROCERES DE LA INDEPEND. NRO. 1780 U, , ,SAN JUAN DE LURIGANCHO,JU,7,17
CM LLANTAS SERVICIOS GENERALES SAC - CHIMU,JR EL HARAVICU 376 - 382 - URB ZARATE,FANI CLEMENTE RAMIREZ, ,SAN JUAN DE LURIGANCHO,JU,7,17
COMERCIAL LAS GEMELAS,MZ. C LT. 5 ASOC. MELCHORITA,CARMEN LOURDES ESTRELLA ORE,987361161,ATE,LU,5,17
COMERCIAL LEONARDO MARCO,AV.NICOLAS DE PIEROLA 626 B STA. CLARA,EYDI JHOSANDY PALOMINO PEREZ, ,ATE,LU,5,17
COMERCIAL LEONARDO MARCO II,MZ E LT 1 ASOC MELCHORITA AV PIEROLA,CASAICO TORREJON MARCO ANTONIO, ,ATE,LU,5,17
COMERCIAL MATOS,AV CENTRAL MZ G LT 01 URB MARISCAL CACER,SALAZAR CHICLLA VICENTE, ,SAN JUAN DE LURIGANCHO,MA,7,17
COMERCIAL ROSITA-CE,AV. PROC. INDEP. N∞ 2290,HILARIO ARANDA PALMA, ,SAN JUAN DE LURIGANCHO,LU,7,17
COMERCIAL SOLYS,AV EUCALIPTOS 1133 COOP UNIVERSAL ,CILIOS SOLIS BARTOLO, ,SANTA ANITA,SA,5,17
COMERCIAL VILMAR,PROLONGACION PARINASCOCHAS 1765,MARITZA VILCA PANTI,988840299,LA VICTORIA,VI,5,17
CONSORCIO CAYDI - MUNDO LLANTAS,AV JOSE CARLOS MARIATEGUI MZ B LT 136 UR,MENDOZA BERROCAL MAYDA, ,ATE,LU,5,17
CONSORCIO LLACTA SAC,AV PROCERES DE LA INDEPENDENCIA 2178 APV,ANGELES HARO AUGUSTO ARTEMIO, ,SAN JUAN DE LURIGANCHO,LU,7,17
CONTRERAS MOTORS SAC,AV LIMA SUR 786 ,CESAR CONTRERAS SACSA, ,CHOSICA,LU,5,17
COORPORACION GLADYS I      E.I.R.L.,AV PROCERES DE LA INDEPENDENCIA N 146 UR,MONTESINOS TUMBALOBOS JOSSELY, ,SAN JUAN DE LURIGANCHO,JU,7,17
COORPORACION GLADYS II    E.I.R.L.,AV PROCERES DE LA INDEPENDENCIA 2085 ALT,MONTESINOS TUMBALOBOS JOSSELY, ,SAN JUAN DE LURIGANCHO,LU,7,17
COORPORACION MARTEL ORTIS SAC,AV. WIESSE 4210 S.J.L.,ROSA MARIA MARTEL ORTIZ, ,SAN JUAN DE LURIGANCHO,LU,7,17
COORPORACION RAUL - CE,AV.SAN LUIS 994,VICTOR RAUL RIVERA GARCIA, ,SAN LUIS,SA,5,17
CORPORACION OIL CENTER SAC,AAHH HUAYCAN ZONA F -  AV JOSE CARLOS MA,REYES PANDURO AGUNTIN, ,ATE,LU,5,17
CRISTO VIVE-LLANTERIA,AV PROCERES DE LA INDEPENDENC  2641 LOS ANGELES,FANNY JEANNE LEON RUIZ, ,SAN JUAN DE LURIGANCHO,LU,7,17
DIONE INGENIEROS GLP Y GNV SAC STA ANITA,AV. IMPERIAL 232 STA ROSA,KARINA CONSUELO CERNA, ,SANTA ANITA,MA,5,17
DISE√ëO Y PUBLICIDAD A Y M SRL,AV MEXICO 1545,IRENE JOSEFINA MORENO VALERIO, ,LA VICTORIA,MI,5,17
DISTRIBUIDORA DE BATERIAS  BETO,AV CULTURA WARI #341 STA ANITA,ALBERTO PANDURO HUAYNATE, ,SANTA ANITA,MA,5,17
DISTRIBUIDORA DE REPUESTOS ARRIOLA-CE,AV.NICOLAS DE ARRIOLA 2235,ESTHER ORDOYC,9796186,LA VICTORIA,SA,5,17
EIMARTH MULTISERVICIOS,AV. LOS FRUTALES 494 ATE ALT.4 FRUTALES,ERICK MANRIQUE HUERTA, ,ATE,MI,5,17
EL PALACIO DE LA DECORACION,Av. Las Alondras 337 - Sta Anita,Angel Gonzales Hermoza,94066207,SANTA ANITA,JU,5,17
EL TALLER  FELIPE-CE,AV. LOS JARDINES O17 N¬∞ 470 PARD. LAS,FELIPE MAGNO SERRANO ESTRELLA,945481036,SAN JUAN DE LURIGANCHO,MA,7,17
ELECTRO AUTOMOTRIZ MARCOS,AV PARINACOCHAS 1799,MARCOS SERGIO NAZARIO BALICIA, ,LA VICTORIA,VI,5,17
ELECTROMOTRIZ ANDRES - CE,AV.MZ.B LT.1 CARRET. CIENEGUILLA KM.11.3,LOURDES P. ROMERO HUARAYA,997182671,CIENEGUILLA,MI,5,17
ELECTRONICA AUTOMOTRIZ RAUL,AV MALECON CHECA CDRA 26 MZ H LT 1 URB C,DE LA CRUZ VALDIVIEZO ROMULO RAUL, ,SAN JUAN DE LURIGANCHO,JU,7,17
ELECTRONICA ROJAS,URB. VILLA VITARTE MZ.A LT.25,MAXIMO A. ROJAS CONTRERAS, ,ATE,LU,5,17
EMP MULTISER ESP SAN FRANCISCO DE ASIS,URB SAN HILARION MZ F LT 36,GALLARDO FAUSTO CHAVEZ AYALA,976422106,SAN JUAN DE LURIGANCHO,LU,7,17
ENERGETICA SAN JUAN,AV. PROCERES DE LA IND. 1767,RODRIGUEZ ATENCIO GUILLERMO FELIX, ,SAN JUAN DE LURIGANCHO,SA,7,17
ESC. INTEGRAL DE COND. POR LA RUTA PERU,UCV 1 LT 3 ZONA A HUAYCAN,MIGUEL PAULINO ARCE SULCA, ,ATE,LU,5,17
ESCUELA DE CONDUCTORES RALLY SUR,AV SANTA ROSA DE LIMA 1887,JOSELITO AMEZQUITA NU—EZ, ,SAN JUAN DE LURIGANCHO,LU,7,17
ESTACION DE SERVICIOS STA ROSA,AV.STA ROSA 274,HERRERA MARZANO OLINDA MARTHA, ,SANTA ANITA,JU,5,17
ESTUDIO JURIDICO TARAZONA,AV RUISE—ORES 918 ,REGALADO JIMENEZ MARTHA ISABEL, ,SANTA ANITA,MA,5,17
EXPLORIUM S.A.C. I,AV. WIESSE POSTE 15 LT.1 MARISCAL CACERE,HILDA CORDOVA INCHE, ,SAN JUAN DE LURIGANCHO,SA,7,17
EXPLORIUM SAC II,AV. PROCERES N¬∫ 4201 ALT. GRIFO 5,HILDA CORDOVA INCHE, ,SAN JUAN DE LURIGANCHO,SA,7,17
EXTINTORES EL SOL,AV EL SOL 181 MZ Y LT 15 -   PARADERO PI,AMERSON YOESY TICONA SIMEON, ,ATE,LU,5,17
FABRIFILTER TJ - CE,PROLONG. PARINACOCHAS 1656,JULIO CESAR TARAZONA QUESQUEN, ,LA VICTORIA,VI,5,17
FACTORIA ANGIE S.A.C - CE,AV COLECTORA INDUS MZ LL LT 11,MIGUEL VALENCIA HUARACA,995525586,SANTA ANITA,JU,5,17
FACTORIA CHOY AUTOSERVICIOS SAC,CALLE LOS COCALEROS 719-CTO GRANDE,ENRRIQUE CHOY ALVAREZ,999887757,SAN JUAN DE LURIGANCHO,LU,7,17
FARMA PERU-CE,"AV. PROCERES DE LA INDEO. MZ.K2, LT. 3.B",VICTOR HUGO SUAREZ, ,SAN JUAN DE LURIGANCHO,LU,7,17
FARMA Q,AV WIESSE PARADERO 3 - AAHH SOMOS LIBRES,ALEJANDRO MAGNO QUIROZ LOARTE, ,SAN JUAN DE LURIGANCHO,MA,7,17
FARMABEA,AV STA ROSA 826 URB CANTO GRANDE,BEATRIZ UBALDO TREJO, ,SAN JUAN DE LURIGANCHO,MA,7,17
FARMACIA DADA FARMA,MZ H9 LT 3AAHH JOSE CARLOS MARIATEGUI,MIGUEL VELAZQUE LEIVA, ,SAN JUAN DE LURIGANCHO,SA,7,17
FERRETERIA PARAISO - CE,COOP. PARAISO MZ.A LT.11 CARRET. CIENEGU,CORAL CAHUARINGA, ,CIENEGUILLA,MI,5,17
FERRETERIA SALOME,AV WIESSE MZ.O-6-5NOV.,CECILIA SONIA DE PAZ SALOME,975511153,SAN JUAN DE LURIGANCHO,LU,7,17
FERRETERIA SHADDAY,JOSE DE RIVERA Y DAVALOS 682 BARRIOS ALT,ANA MARIA COLACHAGUA,989507972,EL AGUSTINO,MI,5,17
FERRETERIA Y MATIZADOS JANETH   - CE,AV LOS CHANCAS N/ 586 CCOP DE ANDAHUAYLA,JANETH  REYES GARCIA,998767321,SANTA ANITA,MA,5,17
FERRETERIA Y MATIZADOS TINO COLORS - CE,AV. STA. ROSA 205,DAVID C. ALCANTARA YEMBERTIS, ,SANTA ANITA,JU,5,17
FILTROS REPUESTOS ACCESORIOS LUISITO,PARINACOCHAS 1658,JOSE RAMOS MONCHON GONZALES, ,LA VICTORIA,VI,5,17
FOTO VISUAL - O17 - CE,Cascanueces 268 -Santa Anita Ate,Hugo Escudero Wu, ,SANTA ANITA,JU,5,17
FRENOS  BRAKE,AV. LA CULTURA HUARI  505, , ,SANTA ANITA,MA,5,17
FRENOS ARMANDO - O17 - CE,COOP. DE VIV. LAS DUNAS MZ. C 18,LUCILA MEDINA PUNIL, ,CIENEGUILLA,MI,5,17
FRENOS MARCOS,"AV.PROCERES DE LA INDEPENDENCIA MZ.J,LT1",ROXANA CONDORI CUTIPA,945618164,SAN JUAN DE LURIGANCHO,LU,7,17
FRENOS RAUL,MZ I LT 16 COOP UNION AV CENTRAL PARADER,SONILDA MARTINEZ HERRERA, ,SAN JUAN DE LURIGANCHO,MA,7,17
FRENOS VIRGEN DEL CARMEN-CE,MZ. S-10 LTE. 06 CALLE PAMPA ALTA¬†¬† (REF,SRA.GLADYS VERA VALDIVIA, ,SAN JUAN DE LURIGANCHO,MA,7,17
FRENOS Y EMBRAGUE CERILO,MZ S LT 5 AV LA ESPERANZA P.V. RESIDENCI,CADILLO VILLANUEVA GEDIONI CERILO, ,ATE,LU,5,17
FRENOS Y EMBRAGUES MARIN,MZ F3 LT 27 APV AV PROC DE LA IND 4028,MARIN MACHA QUINTO, ,SAN JUAN DE LURIGANCHO,LU,7,17
FULL CAR`S,JR LAS MICAS 149 - SJL,CARLOS MIGUEL APOLINARIO, ,SAN JUAN DE LURIGANCHO,SA,7,17
FULL INYECTION,XXXX,XXXXX, ,EL AGUSTINO,MI,5,17
FULL TRAVEL SERVICE,Av. Nicolas ayllon 4366 - Ate,MARCELO R. JARAMILLO ANTONICO,351-2838,ATE,MA,5,17
GASEOCENTRO PUENTE NUEVO SAC,AV.JOSE CARLOS MAREATEGUI MZ-A LT.01,GASTON ALFREDO IBA√É¬ëEZ MIRANDA,989235045,EL AGUSTINO,JU,5,17
GNV BRAXSO,MZ C11 LT 1 CD MARISCAL CACERES II BARRI,PASACHE VASQUEZ ESTHER NOEMI, ,SAN JUAN DE LURIGANCHO,MI,7,17
GNV NEGOCIOS E INVERSIONES MOTORS SAC,AV PROCERES DE LA INDEPENDENCIA 2253 URB,ACOSTUPA VELASQUEZ MATIASA, ,SAN JUAN DE LURIGANCHO,MI,7,17
GOLOSINAS ALARCON,AV ATAHUALPA 265 CULTURA Y PROGRESO - —A,ALARCON GODOY JORGE RAUL, ,CHACLACAYO,LU,5,17
GRIFO VALCARD-CE,"AV. SANTA ROSA LOS POSTES MZ. K, LT. 17",WALDIMER VALVERDE CARDENAS, ,SAN JUAN DE LURIGANCHO,MA,7,17
IMPORTACIONES DAPHNE - CE,AV ENCALADA MZ M LT 06 COOP. PACHACUTEC,GLADYS VALER CHACON,1126875,SANTA ANITA,MA,5,17
INJECTRONIC MOTOR,AV HUANCARAY 1349 URB BENJAMIN DOIG ,JUAN CARLOS SERNAQUE ALARCON, ,SANTA ANITA,JU,5,17
INTERNET EL POINT,JR AYARMANCO 361 ZARATE,CABRERA CHANCA POINT, ,SAN JUAN DE LURIGANCHO,JU,7,17
INTERNET LANCERTER ELEGHINHO,MZ F LT 21/2 TIENDA 21 MERCADO SAN CARLO,CERVANTES BORJA EDGAR DANNY, ,SAN JUAN DE LURIGANCHO,MI,7,17
INTERNET SHECO,LOS QUECHUAS 201 (E-25) LOS ALAMOS,PALACIN JANAMPA SERGIO, ,ATE,MI,5,17
INVERSIONES E.M.I.,AV.PRINCIPAL 325-COOP.DANIEL A.CARRION C,EDGAR ROLANDO LINARES MALENA, ,SAN JUAN DE LURIGANCHO,JU,7,17
INVERSIONES HIRSA I ,AV LAS ALONDRAS N/ 359-A,DONOVAN ARTURO ILLACONZA RODRIGUEZ,991812049,SANTA ANITA,JU,5,17
INVERSIONES TOURS LINEAS DEL SUR SAC,AV PROCERES ALTUR POSTES LAS GENCIANAS 2,SANDY ZUNIGA EGUIZABAL,984349072,SAN JUAN DE LURIGANCHO,LU,7,17
INVERSIONES Y NEGOSIACIONES JB SAC  - CE,AV URUBAMBA 440 MZG2 LT1 COOP 27 DE abr,JESUS BARDALES CABREJOS, ,ATE,JU,5,17
INVERSIONES Y SERVICIOS TATI CAR,AV PROCERES DE INDEPENDENCIA 2385 COOP E,ZU—IGA EGUIZABAL WILBER ANTONIO, ,SAN JUAN DE LURIGANCHO,LU,7,17
IVICAR,AV. PROCERESDELA INDEPENDENCIA N√Ç¬∞ 1747,IVANA SOTO  FUENTES, ,SAN JUAN DE LURIGANCHO,LU,7,17
JHERSINO MOTORS,AV CARRETERA CENTRAL MZ A LT 24 - HUAYCA,PATRICIA VIOLETA PRADO GARCIA, ,ATE,LU,5,17
