ncontrato,fechaemision,fechavigenciacontdesde,fechavigenciaconthasta,fechavigenciacertdesde,fechavigenciacerthasta,cuotas,flotas,cliename,num_doc
00063,19/06/2009,20/12/2008,20/12/2009,20/11/2009,20/12/2009,12,71,E.T.S. RAPIDO SANTA MARINA S.A.,20202213139
00066,19/06/2009,20/12/2008,20/12/2009,20/11/2009,20/12/2009,12,72,E.T.S. RAPIDO SANTA MARINA S.A.,20202213139
00090,18/12/2009,25/12/2009,25/12/2010,25/11/2010,25/12/2010,12,41,E.T. ROSARIO DE SANTA MARIA S.A.C,20386299561
00126,23/12/2010,25/12/2010,25/12/2011,25/11/2011,25/12/2011,12,39,E.T. ROSARIO DE SANTA MARIA S.A.C,20386299561
00032,2/06/2009,4/08/2008,4/08/2009,4/07/2009,4/08/2009,12,28,EMP. DE TRANS. TORO S.A.,20127933911
00075,3/08/2009,4/08/2009,4/08/2010,20/07/2010,4/08/2010,12,34,EMP. DE TRANS. TORO S.A.,20127933911
00146,15/09/2010,19/09/2011,19/09/2012,19/08/2012,19/09/2012,12,28,E.T.S. RAPIDO MARCOS S.A,20259783403
00168,17/09/2012,19/09/2012,19/09/2013,19/08/2013,19/09/2013,12,29,E.T.S. RAPIDO MARCOS S.A,20259783403
00036,6/05/2009,19/09/2008,19/09/2009,19/08/2009,19/09/2009,12,30,E.T.S. RAPIDO MARCOS S.A,20259783403
00082,19/09/2009,19/09/2009,19/09/2010,24/08/2010,19/09/2010,12,41,E.T.S. RAPIDO MARCOS S.A,20259783403
00121,15/09/2010,19/09/2010,19/09/2011,19/08/2011,19/09/2011,12,23,E.T.S. RAPIDO MARCOS S.A,20259783403
00026,6/05/2009,8/02/2009,8/02/2010,8/01/2010,8/02/2010,12,54,E .T. SAN JUAN 108 S.A.,20108986256
00190,16/09/2013,16/09/2013,16/09/2014,16/08/2014,16/09/2014,12,7,E.T. 42 S.A.,20130579401
00217,16/09/2014,16/09/2014,16/09/2015,16/08/2015,16/09/2015,12,18,E.T. 42 S.A.,20130579401
00236,16/09/2015,16/09/2015,16/09/2016,16/05/2016,16/06/2016,12,5,E.T. 42 S.A.,20130579401
00022,23/06/2009,25/07/2008,25/07/2009,25/06/2009,25/07/2009,12,88,EMP DE TRANP ROMYJOIV S.A.,20301073225
00072,25/07/2009,25/07/2009,25/07/2010,13/07/2010,25/07/2010,12,50,EMP DE TRANP ROMYJOIV S.A.,20301073225
00035,6/06/2009,5/09/2008,5/09/2009,5/08/2009,5/09/2009,12,160,E.T. Y SERV. INTERCONTINENTAL S.A.,20250643994
00261,24/02/2017,28/02/2017,28/02/2018,28/01/2018,28/02/2018,12,6,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00263,27/06/2017,7/07/2017,7/07/2018,7/03/2018,7/04/2018,12,7,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00273,23/02/2018,1/03/2018,1/03/2019,1/03/2018,1/04/2018,12,8,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00228,6/07/2015,6/07/2015,6/07/2016,6/06/2016,6/07/2016,12,6,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00246,26/02/2016,28/02/2016,28/02/2017,28/01/2017,28/02/2017,12,9,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00248,11/10/2016,7/07/2016,7/07/2017,7/06/2017,7/07/2017,12,7,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00204,27/02/2014,27/02/2014,27/02/2015,27/01/2015,27/02/2015,12,12,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00207,3/07/2014,5/07/2014,5/07/2015,5/06/2015,5/07/2015,12,14,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00226,26/02/2015,27/02/2015,27/02/2016,27/01/2016,27/02/2016,12,8,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00163,6/07/2012,3/07/2012,3/07/2013,3/05/2013,3/07/2013,12,16,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00178,26/02/2013,27/02/2013,27/02/2014,27/01/2014,27/02/2014,12,12,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00182,2/07/2013,4/07/2013,4/07/2014,4/06/2014,4/07/2014,12,11,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00114,1/07/2010,2/07/2010,2/07/2011,2/11/2010,2/07/2011,12,26,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00139,30/06/2011,2/07/2011,2/07/2012,2/04/2012,2/07/2012,12,26,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00156,24/02/2012,26/02/2012,26/02/2013,26/08/2012,26/02/2013,12,32,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00080,27/08/2009,28/07/2009,28/07/2010,28/11/2009,28/12/2009,12,11,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00081,1/09/2009,2/07/2009,2/07/2010,2/10/2009,2/07/2010,12,23,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00101,22/02/2010,25/02/2010,25/02/2011,25/07/2010,25/02/2011,12,21,EMP. TRANSP. 17 DE NOVIEMBRE S.A,20137466482
00073,24/07/2009,25/12/2008,25/12/2009,25/11/2009,25/12/2009,12,14,E.T. ACORSAC S.A.,20474313361
00023,29/05/2009,1/02/2009,1/02/2010,1/01/2010,1/02/2010,12,48,E.T. RAPIDO 4 DE NOVIEMBRE S.A,20160272601
00034,4/05/2009,5/09/2008,5/09/2009,5/08/2009,5/09/2009,12,95,GRUPO DE TRANS. E INV. CONTINENTAL S.A.,20421000728
00057,1/06/2009,31/08/2008,31/08/2009,31/05/2009,30/06/2009,12,2,E.T.S. 5 CONTINENTES S.A,20379520015
00099,15/02/2010,18/06/2009,18/06/2010,18/05/2010,18/06/2010,12,3,LIMA-JUKICAR S.A.C,20512788018
00111,17/06/2010,18/06/2010,18/06/2011,18/12/2010,18/06/2011,12,3,LIMA-JUKICAR S.A.C,20512788018
00002,5/06/2009,5/09/2008,5/09/2009,5/06/2009,5/07/2009,12,57,E.T.S. UNIDOS PARA TRIUNFAR,20390483962
00084,29/05/2009,29/05/2009,29/05/2010,29/05/2009,29/05/2010,12,1,E.T. SOL DE SANTA CLARA S.A.,20123668686
00053,6/05/2009,19/02/2009,19/02/2010,19/01/2010,19/02/2010,12,10,EMP. DE SERV. GENER. CRUZ DE MOTUPE SAC,20376025234
00161,13/06/2012,13/06/2012,13/06/2013,13/05/2013,13/06/2013,12,13,SOCIEDAD ANDINA MULT. E INVER. SAC,20253899302
00058,12/06/2009,12/06/2009,11/06/2010,12/05/2010,11/06/2010,12,33,SOCIEDAD ANDINA MULT. E INVER. SAC,20253899302
00109,11/06/2010,11/06/2010,11/06/2011,11/05/2011,11/06/2011,12,15,SOCIEDAD ANDINA MULT. E INVER. SAC,20253899302
00138,13/06/2011,13/06/2011,13/06/2012,13/05/2012,13/06/2012,12,17,SOCIEDAD ANDINA MULT. E INVER. SAC,20253899302
00266,28/08/2017,28/08/2017,28/08/2018,28/02/2018,28/03/2018,12,82,LEVARO SAC,20457920050
00216,25/08/2014,27/08/2014,27/08/2015,27/07/2015,27/08/2015,12,142,LEVARO SAC,20457920050
00235,26/08/2015,27/08/2015,27/08/2016,27/07/2016,27/08/2016,12,107,LEVARO SAC,20457920050
00254,21/10/2016,27/08/2016,27/08/2017,27/08/2017,27/09/2017,12,-8,LEVARO SAC,20457920050
00145,26/08/2011,27/08/2011,27/08/2012,27/07/2012,27/08/2012,12,75,LEVARO SAC,20457920050
00167,27/08/2012,27/08/2012,27/08/2013,27/07/2013,27/08/2013,12,-187,LEVARO SAC,20457920050
00188,27/08/2013,27/08/2013,27/08/2014,27/07/2014,27/08/2014,12,82,LEVARO SAC,20457920050
00004,13/05/2009,27/04/2009,27/04/2010,27/07/2009,27/08/2009,12,95,LEVARO SAC,20457920050
00079,25/08/2009,27/08/2009,27/08/2010,27/07/2010,27/08/2010,12,101,LEVARO SAC,20457920050
00120,26/08/2010,27/08/2010,27/08/2011,27/07/2011,27/08/2011,12,90,LEVARO SAC,20457920050
00071,25/07/2009,26/07/2009,26/07/2010,26/06/2010,26/07/2010,12,61,SCANDALO S.A.,20384664297
00118,26/07/2010,26/07/2010,26/07/2011,26/06/2011,26/07/2011,12,68,SCANDALO S.A.,20384664297
00141,22/07/2011,26/07/2011,26/07/2012,26/12/2011,26/07/2012,12,54,SCANDALO S.A.,20384664297
00064,1/07/2009,1/07/2009,1/07/2010,1/03/2010,1/07/2010,12,59,E.T. DE LUXE  S.A.C.,20255124642
00112,25/06/2010,1/07/2010,1/07/2011,1/06/2011,1/07/2011,12,66,E.T. DE LUXE  S.A.C.,20255124642
00258,6/02/2017,9/02/2017,9/02/2018,9/01/2018,9/02/2018,12,80,E.T.S.C.EXPRESO SANTA ANITA S.A C,20139369514
00271,6/02/2018,9/02/2018,9/02/2019,9/03/2018,9/04/2018,12,0,E.T.S.C.EXPRESO SANTA ANITA S.A C,20139369514
00223,5/02/2015,9/02/2015,9/02/2016,9/01/2016,9/02/2016,12,104,E.T.S.C.EXPRESO SANTA ANITA S.A C,20139369514
00242,6/02/2016,6/02/2016,6/02/2017,6/02/2016,9/03/2016,12,109,E.T.S.C.EXPRESO SANTA ANITA S.A C,20139369514
00245,26/02/2016,9/02/2016,9/02/2017,9/01/2017,9/02/2017,12,96,E.T.S.C.EXPRESO SANTA ANITA S.A C,20139369514
00154,7/02/2012,9/02/2012,9/02/2013,9/01/2013,9/02/2013,12,108,E.T.S.C.EXPRESO SANTA ANITA S.A C,20139369514
00176,8/02/2013,9/02/2013,9/02/2014,9/01/2014,9/02/2014,12,128,E.T.S.C.EXPRESO SANTA ANITA S.A C,20139369514
00201,5/02/2014,9/02/2014,9/02/2015,9/01/2015,9/02/2015,12,109,E.T.S.C.EXPRESO SANTA ANITA S.A C,20139369514
00006,6/05/2009,9/02/2009,9/02/2010,26/01/2010,9/02/2010,12,119,E.T.S.C.EXPRESO SANTA ANITA S.A C,20139369514
00095,5/02/2010,9/02/2010,9/02/2011,9/01/2011,9/02/2011,12,143,E.T.S.C.EXPRESO SANTA ANITA S.A C,20139369514
00130,7/02/2011,9/02/2011,9/02/2012,9/01/2012,9/02/2012,12,137,E.T.S.C.EXPRESO SANTA ANITA S.A C,20139369514
00270,31/01/2018,1/02/2018,1/02/2019,1/03/2018,1/04/2018,12,12,E.T. Y MULTISERV. NUEVA IMAGEN S.A,20458210137
00224,6/02/2015,8/02/2015,8/02/2016,8/01/2016,8/02/2016,12,25,E.T. Y MULTISERV. NUEVA IMAGEN S.A,20458210137
00243,7/02/2016,8/02/2016,8/02/2017,8/01/2017,8/02/2017,12,20,E.T. Y MULTISERV. NUEVA IMAGEN S.A,20458210137
00259,8/02/2017,8/02/2017,8/02/2018,8/01/2018,8/02/2018,12,12,E.T. Y MULTISERV. NUEVA IMAGEN S.A,20458210137
00153,7/02/2012,8/02/2012,8/02/2013,8/01/2013,8/02/2013,12,-45,E.T. Y MULTISERV. NUEVA IMAGEN S.A,20458210137
00175,7/02/2013,8/02/2013,8/02/2014,8/01/2014,8/02/2014,12,-272,E.T. Y MULTISERV. NUEVA IMAGEN S.A,20458210137
00202,7/02/2014,8/02/2014,8/02/2015,8/01/2015,8/02/2015,12,24,E.T. Y MULTISERV. NUEVA IMAGEN S.A,20458210137
00001,2/05/2009,8/02/2009,8/02/2010,8/01/2010,8/02/2010,12,54,E.T. Y MULTISERV. NUEVA IMAGEN S.A,20458210137
00097,6/02/2010,8/02/2010,8/02/2011,8/01/2011,8/02/2011,12,51,E.T. Y MULTISERV. NUEVA IMAGEN S.A,20458210137
00129,5/02/2011,8/02/2011,8/02/2012,8/01/2012,8/02/2012,12,49,E.T. Y MULTISERV. NUEVA IMAGEN S.A,20458210137
00007,4/05/2009,4/07/2008,4/07/2009,4/11/2008,4/12/2008,12,96,EMP. DE TRANSPORTE ANGAMOS S.A.,20250510765
00115,5/07/2010,6/07/2010,6/07/2011,6/07/2010,6/07/2011,1,5,EMP. DE TRANSPORTE ANGAMOS S.A.,20250510765
00018,13/05/2009,14/06/2008,14/06/2009,14/05/2009,14/06/2009,12,42,E.T JOSE LEAL COCHARCAS S.A.,20147892510
00060,12/06/2009,14/06/2009,13/06/2010,14/05/2010,13/06/2010,12,60,E.T JOSE LEAL COCHARCAS S.A.,20147892510
00108,10/06/2010,13/06/2010,14/06/2011,14/05/2011,14/06/2011,12,59,E.T JOSE LEAL COCHARCAS S.A.,20147892510
00157,21/05/2012,21/05/2012,21/05/2013,21/04/2013,21/05/2013,12,40,E.T. SENOR DE LA JUSTICIA S.A.,20382268602
00054,16/07/2009,21/05/2009,21/05/2010,21/04/2010,21/05/2010,12,58,E.T. SENOR DE LA JUSTICIA S.A.,20382268602
00105,19/05/2010,21/05/2010,21/05/2011,21/04/2011,21/05/2011,12,59,E.T. SENOR DE LA JUSTICIA S.A.,20382268602
00135,20/05/2011,21/05/2011,21/05/2012,21/04/2012,21/05/2012,12,60,E.T. SENOR DE LA JUSTICIA S.A.,20382268602
00147,3/10/2011,3/10/2011,3/10/2012,3/07/2012,3/08/2012,12,74,MULT. INV. VIRGEN DE COPACABANA S.A.,20508922397
00037,27/06/2009,29/09/2008,29/09/2009,29/09/2008,29/10/2008,12,103,MULT. INV. VIRGEN DE COPACABANA S.A.,20508922397
00086,23/10/2009,30/09/2009,30/09/2010,30/08/2010,30/09/2010,12,89,MULT. INV. VIRGEN DE COPACABANA S.A.,20508922397
00122,30/09/2010,1/10/2010,1/10/2011,1/09/2011,1/10/2011,12,72,MULT. INV. VIRGEN DE COPACABANA S.A.,20508922397
00227,3/06/2015,3/06/2015,3/06/2016,3/05/2016,3/06/2016,12,41,E.T. ENSENADA CHILLON S.A.,20187923035
00247,11/10/2016,3/06/2016,3/06/2017,3/05/2017,3/06/2017,12,43,E.T. ENSENADA CHILLON S.A.,20187923035
00262,31/05/2017,3/06/2017,3/06/2018,3/03/2018,3/04/2018,12,45,E.T. ENSENADA CHILLON S.A.,20187923035
00159,1/06/2012,3/06/2012,3/06/2013,3/05/2013,3/06/2013,12,35,E.T. ENSENADA CHILLON S.A.,20187923035
00180,31/05/2013,3/06/2013,3/06/2014,3/05/2014,3/06/2014,12,41,E.T. ENSENADA CHILLON S.A.,20187923035
00205,29/05/2014,3/06/2014,3/06/2015,3/05/2015,3/06/2015,12,48,E.T. ENSENADA CHILLON S.A.,20187923035
00016,2/07/2009,3/06/2009,3/06/2010,18/05/2010,3/06/2010,12,35,E.T. ENSENADA CHILLON S.A.,20187923035
00106,2/06/2010,3/06/2010,3/06/2011,3/05/2011,3/06/2011,12,40,E.T. ENSENADA CHILLON S.A.,20187923035
00136,2/06/2010,3/06/2011,3/06/2012,3/05/2012,3/06/2012,12,40,E.T. ENSENADA CHILLON S.A.,20187923035
00065,26/06/2009,27/07/2008,27/07/2009,27/05/2009,27/06/2009,12,2,EMP. DE TRANSP. DOCE DE JUNIO S.A.,20166127310
00267,31/10/2017,5/11/2017,5/11/2018,5/03/2018,5/11/2018,12,42,EMP. TRANSP. EL AMAUTA S.A.,20110904194
00220,24/10/2014,5/11/2014,5/11/2015,5/03/2015,5/11/2015,12,48,EMP. TRANSP. EL AMAUTA S.A.,20110904194
00239,2/11/2015,5/11/2015,5/11/2016,5/03/2016,5/11/2016,12,38,EMP. TRANSP. EL AMAUTA S.A.,20110904194
00255,31/10/2016,5/11/2016,5/11/2017,5/03/2017,5/11/2017,12,45,EMP. TRANSP. EL AMAUTA S.A.,20110904194
00148,28/10/2011,5/11/2011,5/11/2012,5/03/2012,5/11/2012,5,79,EMP. TRANSP. EL AMAUTA S.A.,20110904194
00169,29/10/2012,5/11/2012,5/11/2013,5/03/2013,5/11/2013,5,57,EMP. TRANSP. EL AMAUTA S.A.,20110904194
00194,28/10/2013,5/11/2013,5/11/2014,5/03/2014,5/11/2014,12,51,EMP. TRANSP. EL AMAUTA S.A.,20110904194
00040,3/07/2009,5/11/2008,5/11/2009,5/10/2009,5/11/2009,1,12,EMP. TRANSP. EL AMAUTA S.A.,20110904194
00088,30/10/2009,5/11/2009,5/11/2010,5/11/2009,5/11/2010,5,13,EMP. TRANSP. EL AMAUTA S.A.,20110904194
00124,28/10/2010,5/11/2010,5/11/2011,5/04/2011,5/11/2011,12,71,EMP. TRANSP. EL AMAUTA S.A.,20110904194
00208,7/07/2014,7/07/2014,7/07/2015,7/06/2015,7/07/2015,12,24,EMP. TRANSP. 13 DE JUNIO S.A.,20140420248
00229,7/07/2015,7/07/2015,7/07/2016,7/11/2015,7/12/2015,12,1,EMP. TRANSP. 13 DE JUNIO S.A.,20140420248
00140,6/07/2011,7/07/2011,7/07/2012,7/06/2012,7/07/2012,12,20,EMP. TRANSP. 13 DE JUNIO S.A.,20140420248
00162,6/07/2012,7/07/2012,7/07/2013,7/06/2013,7/07/2013,12,33,EMP. TRANSP. 13 DE JUNIO S.A.,20140420248
00183,5/07/2013,7/07/2013,7/07/2014,7/06/2014,7/07/2014,12,36,EMP. TRANSP. 13 DE JUNIO S.A.,20140420248
00021,6/05/2009,7/07/2008,7/07/2009,7/06/2009,7/07/2009,12,40,EMP. TRANSP. 13 DE JUNIO S.A.,20140420248
00068,23/10/2009,7/07/2009,7/07/2010,7/06/2010,7/07/2010,12,17,EMP. TRANSP. 13 DE JUNIO S.A.,20140420248
00116,6/07/2010,7/07/2010,7/07/2011,7/06/2011,7/07/2011,12,38,EMP. TRANSP. 13 DE JUNIO S.A.,20140420248
00244,23/02/2016,24/02/2016,24/02/2017,24/01/2017,24/02/2017,12,26,EMP. TRANSP. EXPRESS PACHACAMAC S.A.,20107642464
00260,20/02/2017,24/02/2017,24/02/2018,24/01/2018,24/02/2018,12,22,EMP. TRANSP. EXPRESS PACHACAMAC S.A.,20107642464
00272,22/02/2018,24/02/2018,24/02/2019,24/02/2018,24/03/2018,12,18,EMP. TRANSP. EXPRESS PACHACAMAC S.A.,20107642464
00177,22/02/2013,24/02/2013,24/02/2014,24/01/2014,24/02/2014,12,46,EMP. TRANSP. EXPRESS PACHACAMAC S.A.,20107642464
00203,21/02/2014,24/02/2014,24/02/2015,24/01/2015,24/02/2015,12,42,EMP. TRANSP. EXPRESS PACHACAMAC S.A.,20107642464
00225,20/02/2015,24/02/2015,24/02/2016,24/01/2016,24/02/2016,12,39,EMP. TRANSP. EXPRESS PACHACAMAC S.A.,20107642464
00100,5/04/2010,24/02/2010,24/02/2011,24/01/2011,24/02/2011,12,96,EMP. TRANSP. EXPRESS PACHACAMAC S.A.,20107642464
00133,22/02/2011,24/02/2011,24/02/2012,24/01/2012,24/02/2012,12,79,EMP. TRANSP. EXPRESS PACHACAMAC S.A.,20107642464
00155,23/02/2012,24/02/2012,24/02/2013,24/01/2013,24/02/2013,12,49,EMP. TRANSP. EXPRESS PACHACAMAC S.A.,20107642464
00233,30/07/2015,1/08/2015,1/08/2016,1/07/2016,1/08/2016,12,37,TRANSPORTE BRONCO S.A.,20122730612
00252,18/10/2016,1/08/2016,1/08/2017,1/07/2017,1/08/2017,12,13,TRANSPORTE BRONCO S.A.,20122730612
00265,31/07/2017,1/08/2017,1/08/2018,1/03/2018,1/04/2018,12,27,TRANSPORTE BRONCO S.A.,20122730612
00250,14/10/2016,28/07/2016,28/07/2017,28/12/2016,28/07/2017,12,2,CORPORACION ALAS PERUANAS,20514282421
00231,21/07/2015,28/07/2015,28/07/2016,28/06/2016,28/07/2016,12,8,CORPORACION ALAS PERUANAS,20514282421
00184,19/07/2013,28/07/2013,28/07/2014,28/06/2014,28/07/2014,12,8,CORPORACION ALAS PERUANAS,20514282421
00209,24/07/2014,28/07/2014,28/07/2015,28/06/2015,28/07/2015,12,4,CORPORACION ALAS PERUANAS,20514282421
00164,23/07/2012,28/07/2012,28/07/2013,28/06/2013,28/07/2013,12,11,CORPORACION ALAS PERUANAS,20514282421
00142,25/07/2011,28/07/2011,28/07/2012,28/06/2012,28/07/2012,12,9,CORPORACION ALAS PERUANAS,20514282421
00056,29/05/2009,1/08/2008,1/08/2009,1/08/2008,1/08/2008,12,62,E. T. COMER.  IMPORTADORA S A,20100161185
00149,29/10/2011,1/11/2011,1/11/2012,1/10/2012,1/11/2012,12,46,CONSORCIO BRIZA,20131369558
00170,31/10/2012,1/11/2012,1/11/2013,1/10/2013,1/11/2013,12,-3,CONSORCIO BRIZA,20131369558
00085,7/10/2009,8/10/2009,8/10/2010,8/05/2010,8/06/2010,12,6,E.T. INTERNACIONAL PAMELA S.A.,20137126207
00083,3/10/2009,3/10/2009,3/10/2010,3/09/2010,3/10/2010,12,17,E.T. INTERNACIONAL PAMELA S.A.,20137126207
00102,3/03/2010,6/03/2010,6/03/2011,6/02/2011,6/03/2011,12,207,UVITA S.A.,20293428141
00123,27/10/2010,1/11/2010,1/11/2011,1/10/2011,1/11/2011,12,29,E.T. y S. VEINTISEIS DE MARZO S.A.,20344234664
00107,7/06/2010,7/06/2010,7/06/2011,7/04/2011,7/06/2011,12,4,EMP. DE TRANSP. Y SERV. VICTOR ANDRES BELAUNDE S.A,20376133126
00251,15/10/2016,28/07/2016,28/07/2017,28/06/2017,28/07/2017,12,8,E.T. TABLADA 2000 S.A.,20426932785
00264,25/07/2017,25/07/2017,25/07/2018,28/02/2018,28/03/2018,12,17,E.T. TABLADA 2000 S.A.,20426932785
00186,23/07/2013,27/07/2013,27/07/2014,27/06/2014,27/07/2014,12,28,E.T. TABLADA 2000 S.A.,20426932785
00214,25/07/2014,27/07/2014,27/07/2015,27/06/2015,27/07/2015,12,29,E.T. TABLADA 2000 S.A.,20426932785
00232,24/07/2015,27/07/2015,27/07/2016,27/06/2016,27/07/2016,12,21,E.T. TABLADA 2000 S.A.,20426932785
